# D_loss, G_loss
1.400537252426147461e+00,6.309242844581604004e-01
1.396503210067749023e+00,6.297906041145324707e-01
1.397391438484191895e+00,6.325622797012329102e-01
1.426344752311706543e+00,6.390462517738342285e-01
1.409312248229980469e+00,6.347581148147583008e-01
1.409350872039794922e+00,6.316474676132202148e-01
1.429814338684082031e+00,6.221217513084411621e-01
1.392164230346679688e+00,6.371523141860961914e-01
1.401927590370178223e+00,6.200826168060302734e-01
1.394660472869873047e+00,6.372529268264770508e-01
1.407999515533447266e+00,6.252544522285461426e-01
1.407167196273803711e+00,6.357723474502563477e-01
1.397693991661071777e+00,6.317721605300903320e-01
1.399539589881896973e+00,6.353652477264404297e-01
1.409954071044921875e+00,6.369094252586364746e-01
1.401796817779541016e+00,6.336398720741271973e-01
1.393506884574890137e+00,6.410368084907531738e-01
1.384063601493835449e+00,6.404204368591308594e-01
1.392405271530151367e+00,6.547077298164367676e-01
1.391486883163452148e+00,6.375772356986999512e-01
1.379124641418457031e+00,6.441052556037902832e-01
1.404987454414367676e+00,6.402822732925415039e-01
1.367762684822082520e+00,6.775863170623779297e-01
1.377598047256469727e+00,6.500176191329956055e-01
1.382297992706298828e+00,6.520190834999084473e-01
1.388964772224426270e+00,6.349092721939086914e-01
1.376985907554626465e+00,6.428552865982055664e-01
1.381033420562744141e+00,6.449069380760192871e-01
1.384211301803588867e+00,6.415280103683471680e-01
1.386633157730102539e+00,6.377543807029724121e-01
1.393285751342773438e+00,6.371337175369262695e-01
1.384728670120239258e+00,6.489871144294738770e-01
1.383805632591247559e+00,6.405690908432006836e-01
1.393956542015075684e+00,6.424122452735900879e-01
1.379121065139770508e+00,6.377326250076293945e-01
1.382223844528198242e+00,6.383349895477294922e-01
1.384597420692443848e+00,6.416919231414794922e-01
1.378523826599121094e+00,6.462132930755615234e-01
1.390837430953979492e+00,6.427680253982543945e-01
1.398250818252563477e+00,6.347904801368713379e-01
1.394905805587768555e+00,6.389536857604980469e-01
1.388218522071838379e+00,6.429740190505981445e-01
1.389007091522216797e+00,6.507301330566406250e-01
1.390486001968383789e+00,6.425760388374328613e-01
1.405049085617065430e+00,6.436113119125366211e-01
1.386406660079956055e+00,6.414836645126342773e-01
1.382158160209655762e+00,6.401520371437072754e-01
1.397891521453857422e+00,6.365872025489807129e-01
1.396016597747802734e+00,6.441975235939025879e-01
1.381819248199462891e+00,6.428082585334777832e-01
1.386652231216430664e+00,6.456409692764282227e-01
1.385860919952392578e+00,6.467806696891784668e-01
1.383865475654602051e+00,6.514405012130737305e-01
1.373296499252319336e+00,6.490452289581298828e-01
1.387848615646362305e+00,6.414330005645751953e-01
1.384276628494262695e+00,6.442638635635375977e-01
1.393809556961059570e+00,6.447336673736572266e-01
